district,mandal,village,lat,long,date,value
JOGULAMBA(GADWAL),Gadwal,Gadwal,77.8,16.23,01/05/23,1.84
JOGULAMBA(GADWAL),Ghattu,Allor,77.63,16.18,01/05/23,9.97
JOGULAMBA(GADWAL),Ghattu,Gattu,77.58,16.13,01/05/23,2.47
JOGULAMBA(GADWAL),Ghattu,Induvasi,77.52,16.04,01/05/23,3.77
JOGULAMBA(GADWAL),Aiza,Eklaspur,77.65,16.05,01/05/23,3.85
JOGULAMBA(GADWAL),Aiza,Ieeza,77.67,16.02,01/05/23,7.49
JOGULAMBA(GADWAL),Itikyal,Kodandapur,77.57,16.25,01/05/23,9.38
JOGULAMBA(GADWAL),Kaloor_Timmanadoddi,Kondapur,77.83,16.07,01/05/23,2.81
JOGULAMBA(GADWAL),Kaloor_Timmanadoddi,Kuchinerla,77.53,16.18,01/05/23,1.3
JOGULAMBA(GADWAL),Maldakal,Maldakal,77.69,16.13,01/05/23,1.96
JOGULAMBA(GADWAL),Manopad,Manopad,77.95,15.97,01/05/23,5.71
JOGULAMBA(GADWAL),Undavelli,Pullur,78.01,15.92,01/05/23,20.59
JOGULAMBA(GADWAL),Undavelli,Undavally,78.04,15.93,01/05/23,4.61
JOGULAMBA(GADWAL),Waddepalle,Santhinagar,77.84,15.94,01/05/23,1.61
KAMAREDDY,Banswada,Bansawada,77.88,18.39,01/05/23,7.04
KAMAREDDY,Banswada,Budimi,77.89,18.34,01/05/23,2.49
KAMAREDDY,Bhiknur,Bhiknoor,78.4,18.2,01/05/23,6.29
KAMAREDDY,Bhiknur,Issannapally,78.48,18.14,01/05/23,8.7
KAMAREDDY,Bhiknur,P.D.Mallareddy,78.45,18.17,01/05/23,22.41
KAMAREDDY,Bibipet,Bibipet,78.52,18.21,01/05/23,16.21
KAMAREDDY,Bichkunda,Pulkal,77.77,18.4,01/05/23,3.01
KAMAREDDY,Birkoor,Birkur,77.8,18.47,01/05/23,9.78
KAMAREDDY,Domakonda,Domakonda,78.44,18.25,01/05/23,16.33
KAMAREDDY,Gandhari,Gandhari,78.11,18.4,01/05/23,16.41
KAMAREDDY,Gandhari,Ramlaxmanpally,78.13,18.32,01/05/23,19.12
KAMAREDDY,Gandhari,Sarvapoor,77.99,18.36,01/05/23,16.52
KAMAREDDY,Jukkal,Jukkal,77.6,18.36,01/05/23,3.06
KAMAREDDY,Jukkal,Savargao,77.65,18.32,01/05/23,3.62
KAMAREDDY,Kamareddy,Adloor,78.34,18.34,01/05/23,14.6
KAMAREDDY,Kamareddy,Narasannapally,78.36,18.27,01/05/23,15.56
KAMAREDDY,Lingampet,Bhavanipet,78.06,18.28,01/05/23,6.62
KAMAREDDY,Lingampet,Khannapur,78.16,18.19,01/05/23,14.89
KAMAREDDY,Lingampet,Mothe,78.17,18.31,01/05/23,22.92
KAMAREDDY,Machareddy,Machareddy,78.49,18.33,01/05/23,7.1
KAMAREDDY,Madnur,Menoor,77.65,18.48,01/05/23,8.14
KAMAREDDY,Madnur,SOMUR,77.6,18.42,01/05/23,7.35
KAMAREDDY,Naga_Reddipet,Banjara Thanda,78.08,18.14,01/05/23,9.7
